what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766476968338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766476985794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766476987700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477005616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477007530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477021068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477029932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477030265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477034045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477053329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477065640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477109662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477179080
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477181593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477309123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477364654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477367709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477378372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477410136
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766477413351
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766477413710
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x41020, /cygdrive/c/Users/lenovo/Desktop/CO503_labs/Lab_03/SoC/software/Producer/Producer.elf] return code: 4, 'other error'",1766477420623
error,log,,,"Downloading ELF Process failed",1766477420624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477420645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477427806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477442773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477478523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477480634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477481628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766477483124
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766477488737
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477490559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477494755
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766477495586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477500445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477515032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766477521234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520232321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520235472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520248107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520250218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520261262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520265319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520283246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520284907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520301249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520314469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520316304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520320690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520322612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520333352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520414130
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766520426606
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766520426972
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --accept-bad-sysid, --sidp=0x41020, /cygdrive/c/Users/lenovo/Desktop/CO503_labs/Lab_03/SoC/software/Producer/Producer.elf] return code: 4, 'other error'",1766520434012
error,log,,,"Downloading ELF Process failed",1766520434014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520434035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520439405
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766520446205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520455735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766520458119
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766520459229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766520459371
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766520468587
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766520475469
