what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1765795316476
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1765795316477
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1765795316477
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1765795316478
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1765795316478
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1765795316479
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1765795316480
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1765795316481
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1765795316481
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1765795316481
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1765795316482
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1765795316482
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1765795316483
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1765795316483
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1765795316483
os,sysinfo,,,"win32",1765795316486
arch,sysinfo,,,"x86",1765795316486
ws,sysinfo,,,"win32",1765795316486
locale,sysinfo,,,"en_US",1765795316486
processors,sysinfo,,,"16",1765795316486
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1765795316486
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1765795316486
java.specification.name,sysinfo,,,"Java Platform API Specification",1765795316486
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1765795316486
java.specification.version,sysinfo,,,"1.6",1765795316486
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1765795316486
java.version,sysinfo,,,"1.6.0_23",1765795316486
java.vm.info,sysinfo,,,"mixed mode",1765795316486
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1765795316486
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1765795316486
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1765795316486
java.vm.specification.version,sysinfo,,,"1.0",1765795316486
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1765795316486
java.vm.version,sysinfo,,,"19.0-b09",1765795316486
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1765795317572
started,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1765795318690
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1765795318705
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1765795319132
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1765795319140
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1765795319142
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1765795319143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795319631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795492833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795497446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795641446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795647954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795653805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795667514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795727152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795732299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765795811641
