what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1765797163703
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1765797163723
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1765797163915
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1765797164179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797172853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797207208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1765797210714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797221141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797237255
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1765797238090
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1765797239759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797243318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797260220
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1765797277491
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1765797284092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1765797285454
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1765797290072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797293854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797299285
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797299728
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797304120
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797309406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797326209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797334708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797337359
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1765797344146
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1765797344147
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1765797346573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797347074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797777877
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1765797777907
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1765797781508
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1765797781899
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1765797781910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765797921459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765810341859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765811900910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765817779024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765817789181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765898544367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765898546688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765898548687
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1765898548960
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1765898549235
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1765898550321
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1765898550321
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1765898550322
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1765898551080
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1765898551080
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1765898551080
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1765898551080
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1765898551080
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1765898551080
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1765898551096
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1765898551096
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1765898551096
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1765898551096
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1765898551109
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1765996115977
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1765996115978
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1765996115979
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1765996115979
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1765996115979
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1765996115980
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1765996115980
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1765996115981
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1765996115981
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1765996115981
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1765996115981
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1765996115982
